District,Region,Season,Crop
Chipinge,1,Summer,Maize
Chipinge,1,Winter,Tea
Marange,1,Summer,Maize
Marange,1,Winter,Cotton
Chimaniman,1,Winter,Coffee
Chimaniman,1,Summer,Cotton
Nyamaponda,1,Sumer,Cotton
Nyamaponda,1,Winter,Coffee
Banket,1,Sumer,Cotton
Banket,1,Winter,Tea
Harare,2,Winter,Barley
Harare,2,Summer,Maize
Murehwa,2,Winter,Wheat
Murehwa,2,Summer,Maize
Goromonzi,2,Winter,Barley
Goromonzi,2,Summer,Maize
Chitungwiza,2,Summer,Sorghum
Chitungwiza,2,Winter,Barley
Bindura,2,Winter,Barley
Bindura,2,Summer,Sorghum
Mhangure,2,Winter,Wheat
Mhangure,2,Summer,Maize
Guruve,2,Winter,Wheat
Guruve,2,Summer,Sorghum
Raffingora,2,Winter,Tea
Raffingora,2,Summer,Maize
Centenary,2,Winter,Coffee
Centenary,2,Summer,Maize
Chegutu,3,Winter,Barley
Chegutu,3,Summer,Ground Nuts
kwekwe,3,Winter,Wheat
kwekwe,3,Summer,Maize
Mvuma,3,Winter,Barley
Mvuma,3,Summer,Tobacco
Gokwe,3,Winter,Wheat
Gokwe,3,Summer,Ground Nuts
Zhombe,3,Winter,Wheat
Zhombe,3,Summer,Maize
Nyelele,3,Winter,Barley
Nyelele,3,Summer,Ground Nuts
Kadoma,3,Winter,Barley
Kadoma,3,Summer,Sorghum
Sadza,3,Winter,Wheat
Sadza,3,Summer,Maize
Plumtree,4,Winter,Sorghum
Plumtree,4,Summer,Maize
Mberengwa,4,Winter,Rapoko
Mberengwa,4,Summer,Sorghum
Zvishavane,4,Winter,Millet
Zvishavane,4,Summer,Maize
Matopo,4,Winter,Wheat
Matopo,4,Summer,Sorghum
